0,abs-again,もういちど
1,abs-alreadylogin,すでにログインずみです
2,abs-anotherp,他の場所でログインしています
3,abs-complogin,ログイン、完了
4,abs-confirm,に、設定します。
5,abs-flogout,強制ログアウトしました
6,abs-ivrmenu,お電話ありがとうございます。総務にご用のかたは１、営業にご用のかたは２、経理にご用のかたは３、そのほかは４を押してください。
7,abs-login,ログイン
8,abs-loginfail,ログインできません
9,abs-logout,ログアウトしました
10,abs-nologin,ログインしていません
11,abs-password,パスワード
12,abs-tcmessage,本日の営業は終了しました。明日のお電話をお待ちしております。
13,abs-tcrmessage,本日の営業は終了しました。トーンのあとにメッセージを録音し、最後にシャープを押してください。
14,auth-thankyou,ありがとうございました
15,digits/0,ゼロ
16,digits/1,１
17,digits/10,１０
18,digits/11,１１
19,digits/12,１２
20,digits/13,１３
21,digits/14,１４
22,digits/15,１５
23,digits/16,１６
24,digits/17,１７
25,digits/18,１８
26,digits/19,１９
27,digits/2,２
28,digits/20,２０
29,digits/3,３
30,digits/30,３０
31,digits/4,４
32,digits/40,４０
33,digits/5,５
34,digits/50,５０
35,digits/6,６
36,digits/60,６０
37,digits/7,７
38,digits/70,７０
39,digits/8,８
40,digits/80,８０
41,digits/9,９
42,digits/90,９０
43,digits/a-m,午前
44,digits/at,に
45,digits/billion,億
46,digits/day-0,日曜
47,digits/day-1,月曜
48,digits/day-2,火曜
49,digits/day-3,水曜
50,digits/day-4,木曜
51,digits/day-5,金曜
52,digits/day-6,土曜
53,digits/dollars,ドル
54,digits/fun,ふん
55,digits/h-1,最初
56,digits/h-10,１０番目
57,digits/h-11,１１番目
58,digits/h-12,１２番目
59,digits/h-13,１３番目
60,digits/h-14,１４番目
61,digits/h-15,１５番目
62,digits/h-16,１６番目
63,digits/h-17,１７番目
64,digits/h-18,１８番目
65,digits/h-19,１９番目
66,digits/h-2,２番目
67,digits/h-20,２０番目
68,digits/h-3,３番目
69,digits/h-30,３０番目
70,digits/h-4,４番目
71,digits/h-40,４０番目
72,digits/h-5,５番目
73,digits/h-50,５０番目
74,digits/h-6,６番目
75,digits/h-60,６０番目
76,digits/h-7,７番目
77,digits/h-70,７０番目
78,digits/h-8,８番目
79,digits/h-80,８０番目
80,digits/h-9,９番目
81,digits/h-90,１９番目
82,digits/h-billion,億番目
83,digits/h-hundred,１００番目
84,digits/h-million,１００万番目
85,digits/h-thousand,１０００番目
86,digits/hundred,１００
87,digits/ji,じ
88,digits/million,１００万
89,digits/minus,マイナス
90,digits/mon-0,１月
91,digits/mon-1,２月
92,digits/mon-10,１１月
93,digits/mon-11,１２月
94,digits/mon-2,３月
95,digits/mon-3,４月
96,digits/mon-4,５月
97,digits/mon-5,６月
98,digits/mon-6,７月
99,digits/mon-7,８月
100,digits/mon-8,９月
101,digits/mon-9,１０月
102,digits/nen,ねん
103,digits/nichi,にち
104,digits/oclock,じ
105,digits/oh,おー
106,digits/p-m,午後
107,digits/pound,シャープ
108,digits/star,こめ
109,digits/thousand,千
110,digits/today,今日
111,digits/tomorrow,明日
112,digits/yesterday,昨日
113,jp-arimasen,ありません
114,jp-arimasu,あります
115,jp-baai,場合
116,jp-chigaimasu,ちがいます
117,jp-dekimasen,できません
118,jp-dekimasu,できます
119,jp-desu,です
120,jp-ga,が
121,jp-gozaimasu,ございます
122,jp-kara,から
123,jp-machigai,間違い
124,jp-masu,ます
125,jp-ni,に
126,jp-no,の
127,jp-saigo,最後
128,jp-saisho,最初
129,jp-tadashii,正しい
130,jp-wa,わ
131,jp-wo,を
132,minute,ふん
133,minutes,ふん
134,number,番号
135,one-moment-please,お待ちください
136,pbx-invalid,番号が間違っています。
137,pbx-invalidpark,この番号でのコールパークはありません。
138,pbx-parkingfailed,コールパークが失敗しました。
139,tt-allbusy,お電話ありがとうございます。現在、すべてのオペレーターが電話セールスの相手をしています。空き次第、順番にお繋ぎしますので、そのままお待ちください。
140,vm-advopts,詳細オプションは３を
141,vm-and,と
142,vm-calldiffnum,別な番号は2を押してください
143,vm-changeto,変更先のフォルダは？
144,vm-Cust1,フォルダー５
145,vm-Cust2,フォルダー６
146,vm-Cust3,フォルダー７
147,vm-Cust4,フォルダー８
148,vm-Cust5,フォルダー９
149,vm-delete,メッセージ削除は７を
150,vm-deleted,メッセージは削除されました。
151,vm-dialout,発信中です。おまちください。
152,vm-duration,このメッセージの長さは
153,vm-enter-num-to-call,呼び出したい番号を入力してください。
154,vm-extension,内線
155,vm-Family,家族
156,vm-first,最初
157,vm-for,宛先
158,vm-forward,内線を指定するには１、ディレクトリを使うには２を押してください。
159,vm-forward-multiple,メッセージを送るには１、受信者を追加するには２を押してください。
160,vm-forwardoptions,メッセージを追加するには１、追加せず転送するには２を押してください。
161,vm-Friend,友人
162,vm-Friends,友人
163,vm-from,から
164,vm-from-extension,メッセージは内線
165,vm-from-phonenumber,メッセージは電話番号
166,vm-goodbye,ありがとうございました。
167,vm-helpexit,ヘルプはこめ、終了はシャープを押してください。
168,vm-INBOX,新しい
169,vm-incorrect,ログイン失敗
170,vm-incorrect-mailbox,ログイン失敗。メールボックスは？
171,vm-instructions,メッセージを確認するには１を押してください。終了する場合にはシャープを押してください。
172,vm-intro,トーンの後にメッセージを録音し、シャープを押すか電話をお切りください。
173,vm-invalidpassword,パスワードが間違っています。もう一度入力してください。
174,vm-invalid-password,パスワードの桁すうが少なすぎます。もう一度入力してください。
175,vm-isonphone,は、はなしちゅうです。
176,vm-isunavail,は、電話に出ることができません。
177,vm-last,最後
178,vm-leavemsg,メッセージを残すには５を
179,vm-login,ボイスメール。メールボックスは？
180,vm-mailboxfull,メールボックスがいっぱいです。
181,vm-marked-nonurgent,緊急設定を解除
182,vm-marked-urgent,メッセージを緊急に設定
183,vm-message,メッセージ
184,vm-messages,メッセージ
185,vm-minutes,ふん
186,vm-mismatch,パスワードが一致しません。もう一度入力してください。
187,vm-msgforwarded,メッセージは転送されました。
188,vm-msginstruct,次のメッセージを聞くには６、このメッセージを繰り返すには５、前のメッセージを聞くには４、メッセージを削除または削除取り消しは０、終了するにはシャープを押してください。
189,vm-msgsaved,メッセージは保存されました。
190,vm-newpassword,新しいパスワードを入力し、最後にシャープを押してください。
191,vm-newuser,ボイスメールです。まず最初に設定方法を説明します。
192,vm-next,次のメッセージは６を押してください。
193,vm-no,いいえ
194,vm-nobodyavail,誰も電話に出られません。
195,vm-nobox,送り先のメールボックスがないため、返信できません。
196,vm-nomore,メッセージは以上です。
197,vm-nonumber,送り元がわかりません。
198,vm-num-i-have,番号は
199,vm-Old,以前の
200,vm-onefor,１を押すと
201,vm-onefor-full,１を押して聞く
202,vm-options,不在時のメッセージには１を、はなしちゅう時のメッセージは２を、名前を録音するには３を、一時メッセージの録音は４を、パスワード変更は５を、メインメニューに戻るには、こめを押してください。
203,vm-opts,フォルダー変更は２を、詳細オプションは３を、メールボックスオプションはゼロを押してください。
204,vm-opts-full,他のフォルダーのメッセージは２を、他のメールボックスにメッセージを録音するには３を、あなたの応答メッセージまたはパスワード管理はゼロを押してください。
205,vm-passchanged,パスワードは変更されました。
206,vm-password,パスワード
207,vm-pls-try-again,もういちどやりなおしてください
208,vm-press,押す
209,vm-prev,前のメッセージは４を押してください
210,vm-reachoper,オペレーターを呼び出すにはゼロを
211,vm-rec-busy,トーンのあとにあなたの、はなしちゅうメッセージを録音し、最後にシャープを押してください。
212,vm-received,受信しました
213,vm-rec-name,トーンのあとにあなたの名前を言ってからシャープを押してください。
214,vm-record-prepend,トーンのあとに転送メッセージを録音し、最後にシャープを押してください。
215,vm-rec-temp,トーンの後に一時メッセージを録音し、最後にシャープを押してください。
216,vm-rec-unv,トーンの後に不在時のメッセージを録音し、最後にシャープを押してください。
217,vm-reenterpassword,もういちどパスワードを入力し、最後にシャープを押してください。
218,vm-repaet,このメッセージをもう一度再生するには５を押してください。
219,vm-review,この録音でよければ１を、もういちど聞くには２を、録音するには３を
220,vm-review-nonurgent,メッセージの緊急を解除するには４を押してください。
221,vm-review-urgent,メッセージを緊急にするには４を押してください。
222,vm-saved,保存
223,vm-savedto,保存先
224,vm-savefolder,このメッセージを保存するフォルダーは？
225,vm-savemessage,保存するには９を
226,vm-saveoper,このメッセージでよければ１を、そうでなければお待ちください
227,vm-sorry,入力が判別できません
228,vm-star-cancel,キャンセルには、こめを
229,vm-starmain,メインメニューに戻るには米を
230,vm-tempgreetactive,一時メッセージが有効です
231,vm-tempgreeting,一時メッセージを録音するには１を
232,vm-tempgreeting2,一時メッセージを録音するには１を、削除するには２を
233,vm-tempremoved,一時メッセージは削除されました
234,vm-then-pound,シャープを押してください。
235,vm-theperson,このユーザーの内線は
236,vm-tmpexists,このメッセージは一時保存です。どのメッセージに適用しますか？
237,vm-tocallback,メッセージの送信者を呼び出すには２を
238,vm-tocallnum,この番号を呼び出すには１を
239,vm-tocancel,キャンセルにはシャープを。
240,vm-tocancelmsg,このメッセージをキャンセルするには、こめを
241,vm-toenternumber,番号を入力するには１を
242,vm-toforward,このメッセージを転送するには8を
243,vm-tohearenv,このメッセージの詳細を聞くには３を
244,vm-tomakecall,外線発信するには４を
245,vm-tooshort,メッセージが短すぎます
246,vm-toreply,返信するには１を
247,vm-torerecord,メッセージを録音するには３を
248,vm-undelete,削除を取り消すには７を
249,vm-undeleted,削除は取り消されました
250,vm-unknown-caller,不明な発信者
251,vm-Urgent,急ぎ
252,vm-whichbox,メッセージを残すにはメールボックス番号を押してください。
253,vm-Work,仕事
254,vm-youhave,あなたには
255,letters/a,エー
256,letters/b,ビー
257,letters/c,シー
258,letters/f,ディー
259,letters/e,イー
260,letters/f,エフ
261,letters/g,ジー
262,letters/h,エイチ
263,letters/i,アイ
264,letters/j,ジェイ
265,letters/k,ケイ
266,letters/l,エル
267,letters/m,エム
268,letters/n,エヌ
269,letters/o,オー
270,letters/p,ピー
271,letters/q,キュー
272,letters/r,アール
273,letters/s,エス
274,letters/t,ティー
275,letters/u,ユー
276,letters/v,ブイ
277,letters/w,ダブリュー
278,letters/x,エックス
279,letters/y,ワイ
280,letters/z,ゼット
